time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-05-04 22:05,2084.4,425.37
2023-05-04 23:05,1965.1,424.6
2023-05-05 00:05,1958.8,424.43
2023-05-05 01:05,1954.9,424.57
2023-05-05 02:05,1992.8,426.31
2023-05-05 03:05,2172.2,428.61
2023-05-05 04:05,3376.8,438.0
2023-05-05 05:05,3548.8,437.27
2023-05-05 06:05,3686.6,438.55
2023-05-05 07:05,3527.7,438.78
2023-05-05 08:05,2972.7,448.03
2023-05-05 09:05,3880.3,440.84
2023-05-05 10:05,6804.1,472.52
2023-05-05 11:05,4268.5,448.98
2023-05-05 12:05,5317.1,464.78
2023-05-05 13:05,5376.2,465.63
2023-05-05 14:05,4833.7,460.6
2023-05-05 15:05,3524.8,441.52
2023-05-05 16:05,2607.1,429.73
2023-05-05 17:05,1990.0,424.97
2023-05-05 18:05,2012.5,425.29
2023-05-05 19:05,1973.0,424.95
2023-05-05 20:05,2010.6,425.35
2023-05-05 21:05,2048.9,426.52
2023-05-05 22:05,2116.3,426.88
2023-05-05 23:05,2035.5,425.67
2023-05-06 00:05,1987.6,425.14
2023-05-06 01:05,1972.6,425.24
2023-05-06 02:05,2001.2,426.42
2023-05-06 03:05,2512.9,429.27
2023-05-06 04:05,2945.3,432.08
2023-05-06 05:05,3173.7,428.43
2023-05-06 06:05,5219.5,435.38
2023-05-06 07:05,2971.9,442.05
2023-05-06 08:05,2667.9,434.65
2023-05-06 09:05,2489.0,427.88
2023-05-06 10:05,3292.7,435.97
2023-05-06 11:05,4003.4,445.33
2023-05-06 12:05,4112.1,442.86
2023-05-06 13:05,2161.2,427.46
2023-05-06 14:05,2550.7,426.35
2023-05-06 15:05,2131.4,425.07
2023-05-06 16:05,1973.1,424.56
2023-05-06 17:05,1969.2,424.72
2023-05-06 18:05,1968.1,424.75
2023-05-06 19:05,1971.6,424.94
2023-05-06 20:05,1970.3,424.98
2023-05-06 21:05,1973.2,424.79
2023-05-06 22:05,2010.5,425.4
2023-05-06 23:05,2032.4,426.11
2023-05-07 00:05,2108.5,427.07
2023-05-07 01:05,2204.7,427.8
2023-05-07 02:05,2069.1,426.31
2023-05-07 03:05,2227.5,426.37
2023-05-07 04:05,3736.6,445.16
2023-05-07 05:05,3407.6,444.26
2023-05-07 06:05,2516.7,431.13
2023-05-07 07:05,4005.4,454.75
2023-05-07 08:05,2385.5,433.33
2023-05-07 09:05,2466.3,439.81
2023-05-07 10:05,3988.8,441.37
2023-05-07 11:05,6762.6,445.4
2023-05-07 12:05,6209.9,451.24
2023-05-07 13:05,5128.3,452.64
2023-05-07 14:05,3910.3,447.2
2023-05-07 15:05,3527.4,442.72
2023-05-07 16:05,2642.7,434.08
2023-05-07 17:05,2308.6,429.98
2023-05-07 18:05,2063.3,426.46
2023-05-07 19:05,2043.1,425.72
2023-05-07 20:05,2032.3,425.73
2023-05-07 21:05,2039.9,425.88
2023-05-07 22:05,2054.5,426.3
2023-05-07 23:05,2068.1,426.63
2023-05-08 00:05,1970.7,425.2
2023-05-08 01:05,2008.0,425.48
2023-05-08 02:05,2027.0,426.52
2023-05-08 03:05,2165.8,433.2
2023-05-08 04:05,2148.7,433.82
2023-05-08 05:05,2459.6,433.56
2023-05-08 06:05,2205.6,436.45
2023-05-08 07:05,3276.2,445.19
2023-05-08 08:05,3549.4,437.29
2023-05-08 09:05,3226.2,439.34
2023-05-08 10:05,3836.3,449.41
